route,year,field5,n,mean_pct,median_pct,max_pct,median_dist_m,median_bearing,frame_steps
82-11,2021,0023,3,30.421374953013924,30.421374953013924,53.21733184582718,518.2544898846004,0.20580026542094743,"[1, 2]"
82-11,2021,0024,3,8.471806553131156,8.471806553131156,8.500341338452284,689.5036216009652,179.91714403955453,[2]
82-11,2021,0025,7,22.636106598961685,22.635135135135137,23.214285714285715,345.75525042527374,180.0404377096252,[1]
82-11,2021,0026,7,22.56884216602354,22.640564369534072,23.17181559798388,345.2530794235282,179.83524254686375,[1]
82-11,2021,0027,3,8.17639598991413,8.17639598991413,8.854942371425889,691.0023485203077,180.0827369245119,[2]
82-13,2021,0024,11,21.301920035302746,22.741124104698017,33.87818361933979,308.5263359228481,359.39596830279936,"[3, 4, 7, 43]"
82-13,2021,0025,12,23.91622218936002,23.090965396965103,58.372270742358076,308.0259729308553,179.90728846358104,"[2, 3, 6]"
82-13,2021,0026,11,18.945060116377476,22.457729861116544,22.75711159737418,309.5036348736473,0.5570032508113627,"[3, 4, 6, 7]"
82-16,2021,0024,3,18.626164265789683,18.626164265789683,18.800858445855315,258.76257414279075,0.5538885981942769,[1]
82-16,2021,0025,4,19.21773830673176,19.32919621749409,19.32919621749409,258.01211211879183,179.5558555668881,[1]
82-16,2021,0026,4,19.164058587301295,19.0625,19.38973493350151,258.5,359.55499318516183,[1]
82-16,2021,0028,2,6.371762350951666,6.371762350951666,6.371762350951666,514.5021865842749,359.8329573843191,[2]
82-19,2021,0022,8,50.54792207792207,50.76467532467532,51.763636363636365,344.0058139043583,180.16655702942145,[1]
82-19,2021,0023,8,50.52703153988869,50.38272727272727,51.66909090909091,347.0014409191985,1.1934894239820437,[1]
82-19,2021,0024,8,50.62836734693878,50.525454545454544,51.527142857142856,346.0014450836875,180.0,[1]
82-20,2021,0023,4,55.61209150326797,55.56843137254902,55.71720588235294,532.0084585793726,180.10749664593945,[1]
82-20,2021,0024,4,55.70624183006536,55.63392156862745,55.85088235294118,532.0009398487939,359.783381827889,[1]
82-21,2021,0004,3,59.591617647058825,59.591617647058825,59.666666666666664,483.04200878685026,0.5348569496420339,[1]
82-21,2021,0005,2,52.13598039215686,52.13598039215686,52.13598039215686,524.0009541976044,180.10934295793237,[1]
82-21,2021,0006,4,54.83758764111705,55.81828877005348,56.73368983957219,482.12550233315807,1.3073530947800691,[1]
82-22,2021,0029,12,77.87886002886002,77.85714285714286,78.11174603174604,154.00324671902212,0.7538483330707777,[1]
82-22,2021,0030,12,77.74836940836941,77.70873015873016,78.14285714285714,154.02921800749365,1.1160103914072579,[1]
82-22,2021,0031,11,75.59379365079364,77.87,78.05603174603175,154.0081165922249,180.18602264360163,"[1, 2]"
82-22,2021,0032,10,72.99194003527336,77.85714285714286,78.0,155.0,359.6279547127967,"[1, 2]"
82-22,2021,0033,12,77.92907647907647,77.96920634920635,78.14285714285714,154.0,180.0,[1]
82-24,2021,0019,5,34.126555555555555,43.364222222222224,49.77777777777778,271.69305454634247,179.80487645352997,"[1, 4072]"
82-24,2021,0020,5,50.89461805555556,52.709375,56.355555555555554,257.52584489495814,182.85563525748333,[1]
82-24,2021,0021,7,38.45586574074074,46.460625,48.0795,265.6175345854193,7.002317493342218,"[1, 3]"
82-24,2021,0022,15,29.03364271808825,23.898430870673103,100.0,262.5030929608753,180.2711933221716,"[0, 1, 2, 5, 12]"
82-24,2021,0023,12,21.130892266201247,23.396896330078665,25.19408403721591,256.00439449353206,359.66230776379143,"[1, 6]"
82-24,2021,0024,12,21.996713285466626,24.05665853941716,25.585949089182936,257.09531306501873,0.5541005153679635,"[1, 7]"
82-24,2021,0025,3,21.587561690577083,21.587561690577083,22.02926178006868,260.7559971308835,359.6153095263751,[1]
82-24,2023,0002,4,53.78731777802304,53.90243902439025,53.93153377439906,567.5019823753922,0.15144223634547416,[1]
82-24,2023,0003,5,53.496520679047514,53.51911683156662,53.74138578558468,569.0081282310919,180.1765279984952,[1]
82-24,2023,0005,3,54.551301567037356,54.551301567037356,54.68497576736672,548.5148096032535,179.58221887918955,[1]
82-24,2023,0006,3,54.9588833564348,54.9588833564348,55.1500405515004,550.0040908786631,179.84374033281648,[1]
82-24,2023,0007,8,46.906116101969744,54.73047798629194,55.20662847790507,552.5081447363469,180.15640301328324,"[1, 5]"
82-24,2023,0008,10,48.455281733390436,54.77424961959788,55.42168674698795,553.5508106759487,0.7763180661212346,"[1, 5]"
82-24,2023,0009,4,35.94629442069986,53.75018598962813,54.08869727247144,565.5079575036942,180.20444437589603,"[1, 33]"
82-24,2023,0010,2,53.755072705757655,53.755072705757655,53.755072705757655,560.5109276365627,0.3577745260972165,[1]
82-24,2023,0011,7,53.683130233598,53.696771287807934,53.999521964013596,562.0001112099424,180.0507947562013,[1]
82-24,2023,0012,8,53.929228964242206,53.98698278160307,54.4826753657941,560.5109276365627,0.3577745260972165,[1]
82-24,2023,0013,7,53.232262890362996,53.418179634717035,53.58069700908098,562.7599989661321,180.10174594010496,[1]
