tile,route,label_E,label_N,rgb_E,rgb_N,dE,dN,in_contaminated_set
O2021_83_31_1_0041_00093557_0_1000.tif,83-31,493181.0,6104694.0,492481.0,6104894.0,-700.0,200.0,False
O2021_82_13_1_0026_00144945_1000_1000.tif,82-13,506767.0,6241353.0,506465.0,6240945.0,-302.0,-408.0,False
O2021_83_25_1_0023_00001885_6000_2000.tif,83-25,459956.0,6142905.0,459558.0,6142971.0,-398.0,66.0,False
O2021_82_21_1_0005_00001868_0_1000.tif,82-21,498020.0,6220655.0,496820.0,6220755.0,-1200.0,100.0,True
O2021_83_25_1_0024_00001851_0_1000.tif,83-25,460214.0,6143737.0,459814.0,6143937.0,-400.0,200.0,False
O2021_84_40_1_0030_00064236_3000_3000.tif,84-40,714086.0,6177738.0,713686.0,6177334.0,-400.0,-404.0,False
O2023_84_40_1_0126_00090911_2000_5000.tif,84-40,712791.0,6186001.0,712122.0,6185601.0,-669.0,-400.0,False
O2021_82_24_1_0024_00005670_10cm_7900_1000.tif,82-24,576415.0,6227443.0,576996.0,6227073.0,581.0,-370.0,False
O2021_83_25_1_0026_00001213_4000_1000.tif,83-25,462567.0,6142295.0,461968.0,6142695.0,-599.0,400.0,False
O2021_83_25_1_0016_00002732_0_0.tif,83-25,453178.0,6162240.0,452778.0,6162540.0,-400.0,300.0,False
O2021_82_22_1_0030_00000261_0_6000.tif,82-22,529899.0,6222997.0,529099.0,6222497.0,-800.0,-500.0,False
O2021_83_25_1_0026_00001208_1000_6000.tif,83-25,462361.0,6144374.0,461661.0,6143874.0,-700.0,-500.0,False
O2021_82_19_1_0023_00005472_3000_5000.tif,82-19,455660.0,6216545.0,454963.0,6215697.0,-697.0,-848.0,False
O2021_82_20_1_0024_00005078_5000_8000.tif,82-20,496659.0,6221299.0,497158.0,6220067.0,499.0,-1232.0,True
O2021_83_25_1_0027_00001530_1000_0.tif,83-25,463194.0,6144154.0,462594.0,6144454.0,-600.0,300.0,False
O2021_82_24_1_0021_00002045_3000_0.tif,82-24,574524.0,6224345.0,574616.0,6224187.0,92.0,-158.0,False
O2021_84_40_1_0051_00072029_3000_1000.tif,84-40,726731.0,6177386.0,726733.0,6177168.0,2.0,-218.0,False
O2021_82_21_1_0004_00002040_5000_8000.tif,82-21,495692.0,6221250.0,496192.0,6220066.0,500.0,-1184.0,True
O2021_83_25_1_0014_00002830_5000_2000.tif,83-25,451033.0,6161958.0,451554.0,6161323.0,521.0,-635.0,False
O2021_84_40_1_0051_00071950_5000_3000.tif,84-40,726928.0,6173162.0,726930.0,6172848.0,2.0,-314.0,False
O2021_82_19_1_0024_00005009_0_4000.tif,82-19,456013.0,6216246.0,455413.0,6216446.0,-600.0,200.0,False
O2021_84_40_1_0037_00084319_5000_3000.tif,84-40,719020.0,6176108.0,718921.0,6176120.0,-99.0,12.0,False
O2021_83_25_1_0023_00001886_6000_1000.tif,83-25,459056.0,6143443.0,459556.0,6143405.0,500.0,-38.0,False
O2021_82_21_1_0004_00002040_16000_5000.tif,82-21,496192.0,6220066.0,497292.0,6220366.0,1100.0,300.0,True
O2021_82_21_1_0005_00001869_7000_0.tif,82-21,528697.0,6221616.0,497519.0,6220281.0,-31178.0,-1335.0,True
O2021_83_26_1_0014_00001452_2000_0.tif,83-26,480385.0,6165562.0,480480.0,6165332.0,95.0,-230.0,False
O2021_84_40_1_0049_00072959_0_4000.tif,84-40,725684.0,6174584.0,725687.0,6175043.0,3.0,459.0,False
O2021_82_19_1_0024_00005012_3000_0.tif,82-19,455406.0,6215271.0,455713.0,6215808.0,307.0,537.0,False
O2021_82_19_1_0023_00005473_7000_2000.tif,82-19,454967.0,6216481.0,455360.0,6216345.0,393.0,-136.0,False
O2021_84_40_1_0051_00072026_1000_1000.tif,84-40,726733.0,6177168.0,726534.0,6176852.0,-199.0,-316.0,False
O2021_83_25_1_0016_00002735_10000_4000.tif,83-25,453267.0,6160918.0,453767.0,6161133.0,500.0,215.0,False
O2021_82_16_1_0026_00005230_10cm_2000_1000.tif,82-16,577045.0,6230977.0,576203.0,6231384.0,-842.0,407.0,False
O2021_83_25_1_0023_00001889_8000_2000.tif,83-25,459156.0,6144348.0,459756.0,6144314.0,600.0,-34.0,False
O2021_82_19_1_0023_00005473_10000_0.tif,82-19,455360.0,6216345.0,455660.0,6216545.0,300.0,200.0,False
O2023_82_24_1_0013_00000578_13000_2000.tif,82-24,577431.0,6222782.0,577031.0,6223082.0,-400.0,300.0,False
O2021_82_21_1_0004_00002039_12000_2000.tif,82-21,497283.0,6219884.0,496883.0,6220184.0,-400.0,300.0,True
O2021_82_22_1_0032_00000909_4000_5000.tif,82-22,530582.0,6222938.0,530682.0,6222285.0,100.0,-653.0,False
O2021_84_40_1_0047_00073807_7000_0.tif,84-40,725761.0,6175845.0,725651.0,6175533.0,-110.0,-312.0,False
O2021_83_25_1_0014_00003762_10000_4000.tif,83-25,451532.0,6162615.0,452032.0,6162825.0,500.0,210.0,False
O2021_82_22_1_0030_00000260_2000_4000.tif,82-22,529099.0,6222497.0,529298.0,6222541.0,199.0,44.0,False
O2021_83_31_1_0041_00093557_7000_3000.tif,83-31,492882.0,6103871.0,493181.0,6104694.0,299.0,823.0,False
O2021_83_25_1_0024_00001847_2000_7000.tif,83-25,460620.0,6145281.0,460020.0,6144766.0,-600.0,-515.0,False
O2021_82_11_1_0026_00002620_3000_0.tif,82-11,464188.0,6257530.0,463615.0,6257041.0,-573.0,-489.0,False
O2023_84_40_1_0137_00064734_6000_5000.tif,84-40,720439.0,6168296.0,720738.0,6168129.0,299.0,-167.0,False
O2021_84_40_1_0045_00093310_9000_0.tif,84-40,724412.0,6175530.0,725027.0,6175108.0,615.0,-422.0,False
O2021_82_24_1_0021_00002048_0_4000.tif,82-24,574736.0,6224973.0,574436.0,6224573.0,-300.0,-400.0,False
O2021_83_25_1_0023_00001883_0_1000.tif,83-25,459263.0,6142199.0,458963.0,6142399.0,-300.0,200.0,False
O2021_82_22_1_0030_00000259_4000_2000.tif,82-22,529298.0,6222541.0,529501.0,6222588.0,203.0,47.0,False
O2023_82_24_1_0014_00000746_7000_6000.tif,82-24,577954.0,6224413.0,577655.0,6223755.0,-299.0,-658.0,False
O2021_83_25_1_0027_00001533_0_7000.tif,83-25,463194.0,6143342.0,462494.0,6142824.0,-700.0,-518.0,False
O2021_82_16_1_0030_00006122_10cm_2000_0.tif,82-16,455659.0,6214964.0,578727.0,6230647.0,123068.0,15683.0,False
O2021_82_13_1_0026_00144928_0_2000.tif,82-13,506647.0,6239708.0,506345.0,6239299.0,-302.0,-409.0,False
O2021_84_40_1_0037_00084316_5000_0.tif,84-40,718921.0,6176120.0,718921.0,6176731.0,0.0,611.0,False
O2021_83_25_1_0026_00001211_7000_0.tif,83-25,461670.0,6142731.0,462272.0,6143469.0,602.0,738.0,False
O2021_83_26_1_0012_00001776_6000_5000.tif,83-26,478661.0,6167043.0,479163.0,6165981.0,502.0,-1062.0,False
O2021_82_22_1_0031_00000389_5000_4000.tif,82-22,530056.0,6221906.0,530257.0,6222260.0,201.0,354.0,False
O2021_83_25_1_0027_00001528_3000_7000.tif,83-25,462495.0,6144590.0,462793.0,6144508.0,298.0,-82.0,False
O2021_82_22_1_0029_00002083_5000_1000.tif,82-22,528791.0,6222946.0,528992.0,6222991.0,201.0,45.0,False
O2021_82_22_1_0029_00002077_8000_1000.tif,82-22,529099.0,6222023.0,529299.0,6222068.0,200.0,45.0,False
O2021_83_31_1_0039_00123200_5000_1000.tif,83-31,492056.0,6103371.0,491515.0,6104845.0,-541.0,1474.0,False
O2021_83_26_1_0012_00001780_9990_1000.tif,83-26,479162.0,6167998.0,479562.0,6167702.0,400.0,-296.0,False
O2021_83_26_1_0013_00001590_8000_0.tif,83-26,480001.0,6168492.0,480203.0,6168923.0,202.0,431.0,False
O2023_82_24_1_0012_00000542_0_8000.tif,82-24,575746.0,6224234.0,574546.0,6224134.0,-1200.0,-100.0,False
O2021_83_31_1_0042_00092138_2000_6000.tif,83-31,493214.0,6104851.0,493411.0,6103744.0,197.0,-1107.0,False
O2021_83_31_1_0039_00123148_3000_2000.tif,83-31,491017.0,6103923.0,491320.0,6103500.0,303.0,-423.0,False
O2021_83_26_1_0013_00001600_5000_3000.tif,83-26,479713.0,6164979.0,479918.0,6165325.0,205.0,346.0,False
O2021_84_40_1_0049_00072956_0_3000.tif,84-40,725687.0,6175043.0,725688.0,6175362.0,1.0,319.0,False
O2023_84_40_1_0125_00092554_8000_1000.tif,84-40,711557.0,6184627.0,711959.0,6185256.0,402.0,629.0,False
O2021_83_26_1_0014_00001454_0_2000.tif,83-26,481088.0,6165690.0,480288.0,6165790.0,-800.0,100.0,False
O2021_84_40_1_0045_00093325_7000_1000.tif,84-40,724832.0,6176719.0,724931.0,6176708.0,99.0,-11.0,False
O2021_84_40_1_0043_00083911_8000_3000.tif,84-40,723582.0,6176653.0,723544.0,6175999.0,-38.0,-654.0,False
O2021_83_31_1_0041_00093609_8160_3000.tif,83-31,493921.0,6102682.0,493301.0,6103450.0,-620.0,768.0,False
O2023_84_40_1_0125_00092551_5000_3000.tif,84-40,711259.0,6184756.0,711662.0,6185383.0,403.0,627.0,False
O2021_83_31_1_0043_00091125_2000_1000.tif,83-31,494740.0,6103321.0,494121.0,6103621.0,-619.0,300.0,False
O2021_83_25_1_0017_00002701_0_0.tif,83-25,454156.0,6161505.0,453656.0,6161819.0,-500.0,314.0,False
O2023_82_24_1_0012_00000542_4000_5000.tif,82-24,575346.0,6224534.0,574946.0,6224434.0,-400.0,-100.0,False
O2021_82_16_1_0029_00006117_10cm_2000_3000.tif,82-16,578727.0,6230647.0,578087.0,6230020.0,-640.0,-627.0,False
O2021_83_25_1_0015_00002817_10020_1000.tif,83-25,452616.0,6161806.0,452918.0,6162006.0,302.0,200.0,False
O2021_83_31_1_0040_00094626_3000_4000.tif,83-31,491958.0,6104371.0,492060.0,6103891.0,102.0,-480.0,False
O2021_82_22_1_0030_00000263_4000_5000.tif,82-22,529396.0,6223559.0,529496.0,6222905.0,100.0,-654.0,False
O2021_82_20_1_0024_00005078_0_1000.tif,82-20,497858.0,6220667.0,496658.0,6220767.0,-1200.0,100.0,True
O2021_84_40_1_0051_00071953_5000_4000.tif,84-40,727023.0,6175049.0,726928.0,6173162.0,-95.0,-1887.0,False
O2023_84_40_1_0142_00114710_3000_7000.tif,84-40,724594.0,6173515.0,724193.0,6173631.0,-401.0,116.0,False
O2023_84_40_1_0140_00055855_0_3000.tif,84-40,722967.0,6173024.0,722367.0,6173324.0,-600.0,300.0,False
O2021_82_24_1_0024_00005686_10cm_1000_1000.tif,82-24,576710.0,6231582.0,576317.0,6231217.0,-393.0,-365.0,False
O2021_83_26_1_0013_00001599_7000_2000.tif,83-26,479918.0,6165325.0,480122.0,6165756.0,204.0,431.0,False
O2021_84_40_1_0039_00062712_0_3000.tif,84-40,719874.0,6176053.0,719872.0,6176069.0,-2.0,16.0,False
O2021_83_25_1_0016_00002734_0_6000.tif,83-25,453269.0,6161767.0,452769.0,6161267.0,-500.0,-500.0,False
O2021_82_22_1_0030_00000257_0_3000.tif,82-22,529801.0,6221978.0,529101.0,6222178.0,-700.0,200.0,False
O2021_82_24_1_0021_00002048_3000_0.tif,82-24,574734.0,6225132.0,574736.0,6224973.0,2.0,-159.0,False
O2021_82_24_1_0024_00005672_10cm_2000_3000.tif,82-24,576816.0,6230591.0,576415.0,6227443.0,-401.0,-3148.0,False
O2021_83_26_1_0014_00001455_6000_4000.tif,83-26,480487.0,6166826.0,480886.0,6166006.0,399.0,-820.0,False
O2021_83_25_1_0023_00001884_7000_7000.tif,83-25,459960.0,6143071.0,459659.0,6142220.0,-301.0,-851.0,False
O2021_83_31_1_0040_00094620_3000_2000.tif,83-31,492058.0,6103582.0,492056.0,6103371.0,-2.0,-211.0,False
O2021_83_31_1_0040_00094632_2000_6000.tif,83-31,492481.0,6104894.0,491958.0,6104371.0,-523.0,-523.0,False
O2021_84_40_1_0049_00072947_0_0.tif,84-40,725690.0,6176195.0,725688.0,6176611.0,-2.0,416.0,False
O2021_83_25_1_0023_00001887_1000_4000.tif,83-25,459556.0,6143243.0,459056.0,6143443.0,-500.0,200.0,False
O2021_83_26_1_0013_00001592_5000_2000.tif,83-26,479709.0,6167452.0,479901.0,6168062.0,192.0,610.0,False
O2021_83_25_1_0023_00001890_8000_7000.tif,83-25,459357.0,6144985.0,459756.0,6144235.0,399.0,-750.0,False
O2021_84_40_1_0051_00072017_6000_3000.tif,84-40,727233.0,6176117.0,727030.0,6175701.0,-203.0,-416.0,False
