cell,route,fold,n_contam,n_clean,acc_contam,acc_clean,d_acc,miou_contam,miou_clean,d_miou,n_macro_contam,n_macro_clean,iou_contam_asfalt,iou_clean_asfalt,d_asfalt,iou_contam_fliser,iou_clean_fliser,d_fliser,iou_contam_grus,iou_clean_grus,d_grus,iou_contam_ubefestet,iou_clean_ubefestet,d_ubefestet,iou_contam_green_roof,iou_clean_green_roof,d_green_roof,iou_contam_drivhus,iou_clean_drivhus,d_drivhus,iou_contam_betonflade,iou_clean_betonflade,d_betonflade,iou_contam_brosten,iou_clean_brosten,d_brosten,iou_contam_solceller,iou_clean_solceller,d_solceller
convnext_upernet_6ch,84-41,2,61,282,0.9950643134282321,0.981072255887981,0.013992057540251124,0.9705024963008755,0.40851240765693114,0.5619900886439444,2,5,0.9464005788319261,0.26271339155924506,0.6836871872726811,0.0,0.0,0.0,0.0,0.13568359408272082,-0.13568359408272082,0.994604413769825,0.9811045773113392,0.013499836458485848,,,,,0.0,,,,,,0.0,,,0.6630604753313507,
convnext_upernet_6ch,85-45,2,173,228,0.9780903266266575,0.8681497867814715,0.10994053984518604,0.9680977264921808,0.7495695107643452,0.21852821572783565,3,2,,0.0,,,0.0,,0.9992673611494336,0.0,0.9992673611494336,0.9538995136982524,0.67945866572387,0.2744408479743824,,,,,0.0,,,0.0,,,,,0.9511263046288566,0.8196803558048203,0.13144594882403626
convnext_upernet_6ch_unw,82-20,2,522,86,0.8913077955648373,0.7983776431993052,0.09293015236553215,0.40050171813706414,0.3579562411187029,0.042545477018361255,8,7,0.7694364029693583,0.6700193784333657,0.09941702453599266,0.475460131115166,0.33537805785130814,0.14008207326385785,0.5040334275632232,0.3734183081930164,0.1306151193702068,0.9315103334415942,0.8607693820480308,0.0707409513935634,,,,0.2662888677901733,0.20986914854404717,0.05641971924612613,0.18119642854269546,0.0,0.18119642854269546,0.07236967729616192,0.056239412761151894,0.016130264535010028,0.003718476378140444,0.0,0.003718476378140444
convnext_upernet_6ch_unw,84-40,0,62,600,0.9776729019564012,0.7834012066755782,0.194271695280823,0.5933824917440736,0.1901868274665908,0.4031956642774829,3,9,0.793678196864716,0.5171131300761242,0.2765650667885917,0.0,0.15909562266807814,-0.15909562266807814,0.0,0.1170389376961874,-0.1170389376961874,0.986469278367505,0.844683554387318,0.14178572398018696,,0.0,,,0.010219882316506659,,,0.05199524996521868,,,0.007566926568733043,,,0.003968143521150841,
convnext_upernet_6ch_unw,84-41,2,61,282,0.9901399122817631,0.9850762879052422,0.00506362437652097,0.9406681187551651,0.44544163162495953,0.49522648713020556,2,5,0.8920703138742738,0.32900040786706714,0.5630699060072066,,0.0,,0.0,0.30859729115388235,-0.30859729115388235,0.9892659236360565,0.9852715417858343,0.003994381850222162,,,,,,,,,,,0.0,,,0.6043389173180138,
convnext_upernet_6ch_unw,85-45,2,173,228,0.9806175401784597,0.8713365205065386,0.10928101967192105,0.9716907406462437,0.7574094657954951,0.21428127485074866,3,2,,0.0,,,,,0.9993120360579298,0.0,0.9993120360579298,0.9591215971171222,0.6878695740774748,0.27125202303964735,,,,,,,,,,,,,0.9566385887636791,0.8269493575135153,0.12968923125016385
convnext_upernet_rgb,82-20,2,522,86,0.8955989949855502,0.8106506091116725,0.08494838587387765,0.42754208535794175,0.3881806124829676,0.03936147287497416,8,7,0.7854994474980803,0.6829242692301011,0.10257517826797924,0.489348150846527,0.3773866568343549,0.11196149401217209,0.5464444996839475,0.3965083120178304,0.1499361876661171,0.927320072894195,0.8564605295958649,0.07085954329833011,0.0,,,0.5576862290591086,0.38960504097854287,0.1680811880805657,0.04486310985930946,0.0,0.04486310985930946,0.060783120113887465,0.014379478724078888,0.04640364138980858,0.00839205290847861,0.0,0.00839205290847861
convnext_upernet_rgb,84-40,0,62,600,0.9884149137751073,0.8275899062063096,0.1608250075687977,0.6286539386909692,0.2460892271750714,0.38256471151589777,3,9,0.8976544267937465,0.6187492712379692,0.27890515555577733,0.0,0.18222455314544408,-0.18222455314544408,0.0,0.09638904837431192,-0.09638904837431192,0.9883073892791611,0.8918789266307907,0.09642846264837035,,0.02207270439033835,,,0.028043220286053338,,0.0,0.317453182934386,-0.317453182934386,,0.05715604895095479,,,0.0008360886253942918,
convnext_upernet_rgb,84-41,2,61,282,0.9933558396514651,0.97113522189078,0.02222061776068507,0.9601683361338413,0.39019216075956764,0.5699761753742737,2,5,0.9275811332912224,0.20068216094507207,0.7268989723461503,0.0,0.0,0.0,0.0,0.06826831557991253,-0.06826831557991253,0.9927555389764603,0.9711329894276719,0.021622549548788395,,0.0,,,0.0,,,0.0,,,0.0,,,0.7108773378451818,
convnext_upernet_rgb,85-45,2,173,228,0.9801347514800822,0.8635117952562193,0.11662295622386287,0.9712721655434707,0.7552147761554506,0.2160573893880201,3,2,0.0,0.0,0.0,,0.0,,0.9994265841073923,0.0,0.9994265841073923,0.9587736856003533,0.6697785609623421,0.28899512463801114,,,,,,,,0.0,,,,,0.9556162269226665,0.8406509913485591,0.11496523557410732
convnext_upernet_rgb_unw,82-20,2,522,86,0.9024128329637995,0.7889678650775751,0.11344496788622438,0.39717860729464816,0.364472319627139,0.03270628766750916,8,7,0.783732913993302,0.6099839005423116,0.17374901345099047,0.533647073141742,0.3900938524340746,0.1435532207076674,0.5710618101258681,0.33533993363557596,0.23572187649029214,0.9338236939618563,0.8484332738652307,0.08539042009662556,0.0,0.0,0.0,0.16097568152060376,0.2995739101933792,-0.13859822867277544,0.034482213660835634,0.0,0.034482213660835634,0.12906423473433784,0.06788136671940065,0.06118286801493719,0.030641237218639945,,
convnext_upernet_rgb_unw,84-40,0,62,600,0.9889233220816042,0.8189550340574963,0.1699682880241079,0.6301305136386158,0.22397163878285964,0.4061588748557562,3,9,0.9024437313823197,0.6193193539392919,0.28312437744302776,0.0,0.19055164598928373,-0.19055164598928373,0.0,0.09564087539170976,-0.09564087539170976,0.9879478095335279,0.8758584453290146,0.11208936420451332,,0.0,,,0.0,,0.0,0.15606422763027308,-0.15606422763027308,,0.07806403648984665,,,0.00024616427631738244,
convnext_upernet_rgb_unw,84-41,2,61,282,0.9938910247687396,0.9900065540616294,0.003884470707110177,0.963358335103913,0.5063769919038208,0.4569813432000922,2,5,0.9333429337429509,0.4641066681708891,0.4692362655720618,0.0,0.0,0.0,0.0,0.3956016147075917,-0.3956016147075917,0.993373736464875,0.9901634679973128,0.0032102684675622273,,0.0,,,0.0,,,,,0.0,,,,0.6820132086433102,
convnext_upernet_rgb_unw,85-45,2,173,228,0.979777882556374,0.8487065862229549,0.13107129633341907,0.9704894066255032,0.7205753948321643,0.24991401179333894,3,2,0.0,0.0,0.0,,0.0,,0.9957823899720311,0.0,0.9957823899720311,0.96095248202565,0.6313946408220638,0.3295578412035862,,,,,,,,0.0,,,,,0.9547333478788286,0.8097561488422649,0.1449771990365637
