,unknown,asfalt,fliser,grus,ubefestet,green_roof,drivhus,betonflade,brosten,unknown2,solceller
unknown,0.0,0.0,0.0,27.39,72.61,0.0,0.0,0.0,0.0,0.0,0.0
asfalt,0.0,0.0,0.0,99.53,0.47,0.0,0.0,0.0,0.0,0.0,0.0
fliser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grus,0.0,0.0,0.0,92.05,7.95,0.0,0.0,0.0,0.0,0.0,0.0
ubefestet,0.0,0.0,0.0,5.69,94.31,0.0,0.0,0.0,0.0,0.0,0.0
green_roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drivhus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
betonflade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brosten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unknown2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solceller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
