,unknown,asfalt,fliser,grus,ubefestet,green_roof,drivhus,betonflade,brosten,unknown2,solceller
unknown,0.0,0.0,0.0,26.16,73.84,0.0,0.0,0.0,0.0,0.0,0.0
asfalt,0.0,0.0,0.0,99.49,0.51,0.0,0.0,0.0,0.0,0.0,0.0
fliser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grus,0.0,0.0,0.0,92.12,7.88,0.0,0.0,0.0,0.0,0.0,0.0
ubefestet,0.0,0.0,0.0,6.08,93.92,0.0,0.0,0.0,0.0,0.0,0.0
green_roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drivhus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
betonflade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brosten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unknown2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solceller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
