epoch,train_loss,valid_loss,valid_accuracy,time,lr_0,lr_1,lr_2
0,0.20705288648605347,0.3222822844982147,0.89881432056427,10:15:55,0.0007428678613782612,,
1,0.25227677822113037,0.29728925228118896,0.8942199945449829,9:55:21,0.0018163620664941556,,
2,0.18014401197433472,0.38646411895751953,0.8629986643791199,10:10:45,0.001978183921210736,,
3,0.14565321803092957,0.29705512523651123,0.8883780837059021,9:49:44,0.0018091210256511807,,
4,0.12444190680980682,0.28427135944366455,0.8981468677520752,9:52:54,0.0015001554542471514,,
5,0.13638177514076233,0.22845050692558289,0.9206542372703552,9:50:41,0.001104710134681114,,
6,0.098259337246418,0.22054067254066467,0.9246581792831421,9:52:10,0.0006911614719554732,,
7,0.0946061834692955,0.22112159430980682,0.9334039092063904,9:53:22,0.00033101519385746246,,
8,0.0719519630074501,0.20527036488056183,0.9318833947181702,9:49:04,8.654428368630104e-05,,
9,0.07361294329166412,0.2018730342388153,0.9364246129989624,9:50:28,2.0015098074581406e-08,,
